	['Date', 'Cash', 'Stock']
258	['2018-09-20' 6560.0 698620.0]
259	['2018-09-21' 6530.0 684700.0]
260	['2018-09-22' 6530.0 684700.0]
261	['2018-09-23' 6530.0 684700.0]
262	['2018-09-24' 6530.0 684700.0]
263	['2018-09-25' 6530.0 684700.0]
264	['2018-09-26' 6580.0 684700.0]
265	['2018-09-27' 6580.0 684700.0]
266	['2018-09-28' 6580.0 683760.0]
267	['2018-09-29' 6580.0 683760.0]
268	['2018-09-30' 6580.0 683760.0]
269	['2018-10-01' 6580.0 683760.0]
270	['2018-10-02' 6580.0 683760.0]
271	['2018-10-03' 6580.0 683760.0]
272	['2018-10-04' 6580.0 683760.0]
273	['2018-10-05' 6580.0 687905.0]
274	['2018-10-06' 6580.0 687905.0]
275	['2018-10-07' 6580.0 687905.0]
276	['2018-10-08' 6630.0 687905.0]
277	['2018-10-09' 6680.0 687905.0]
278	['2018-10-10' 6700.0 687905.0]
279	['2018-10-11' 6650.0 687905.0]
280	['2018-10-12' 6650.0 692050.0]
281	['2018-10-13' 6650.0 692050.0]
282	['2018-10-14' 6650.0 692050.0]
283	['2018-10-15' 6700.0 692050.0]
284	['2018-10-16' 6680.0 692050.0]
285	['2018-10-17' 6680.0 692050.0]
286	['2018-10-18' 6660.0 692050.0]
287	['2018-10-19' 6620.0 671590.0]
288	['2018-10-20' 6620.0 671590.0]
289	['2018-10-21' 6620.0 671590.0]
290	['2018-10-22' 6620.0 671590.0]
291	['2018-10-23' 6630.0 671590.0]
292	['2018-10-24' 6550.0 671590.0]
293	['2018-10-25' 6480.0 671590.0]
294	['2018-10-26' 6480.0 672920.0]
295	['2018-10-27' 6480.0 672920.0]
296	['2018-10-28' 6480.0 672920.0]
297	['2018-10-29' 6480.0 672920.0]
298	['2018-10-30' 6480.0 672920.0]
299	['2018-10-31' 6480.0 672920.0]
300	['2018-11-01' 6480.0 672920.0]
301	['2018-11-02' 6400.0 683210.0]
302	['2018-11-03' 6400.0 683210.0]
303	['2018-11-04' 6400.0 683210.0]
304	['2018-11-05' 6420.0 683210.0]
305	['2018-11-06' 6420.0 683210.0]
306	['2018-11-07' 6420.0 683210.0]
307	['2018-11-08' 6420.0 683210.0]
308	['2018-11-09' 6400.0 703470.0]
309	['2018-11-10' 6400.0 703470.0]
310	['2018-11-11' 6400.0 703470.0]
311	['2018-11-12' 6350.0 703470.0]
312	['2018-11-13' 6370.0 703470.0]
313	['2018-11-14' 6320.0 703470.0]
314	['2018-11-15' 6320.0 703470.0]
315	['2018-11-16' 6320.0 717900.0]
316	['2018-11-17' 6320.0 717900.0]
317	['2018-11-18' 6320.0 717900.0]
318	['2018-11-19' 6300.0 717900.0]
319	['2018-11-20' 6280.0 717900.0]
320	['2018-11-21' 6330.0 717900.0]
321	['2018-11-22' 6360.0 717900.0]
322	['2018-11-23' 6380.0 787220.0]
323	['2018-11-24' 6380.0 787220.0]
324	['2018-11-25' 6380.0 787220.0]
325	['2018-11-26' 6380.0 787220.0]
326	['2018-11-27' 6380.0 787220.0]
327	['2018-11-28' 6380.0 787220.0]
328	['2018-11-29' 6410.0 787220.0]
329	['2018-11-30' 6410.0 765240.0]
330	['2018-12-01' 6410.0 765240.0]
331	['2018-12-02' 6410.0 765240.0]
332	['2018-12-03' 6410.0 765240.0]
333	['2018-12-04' 6410.0 765240.0]
334	['2018-12-05' 6410.0 765240.0]
335	['2018-12-06' 6410.0 765240.0]
336	['2018-12-07' 6460.0 729530.0]
337	['2018-12-08' 6460.0 729530.0]
338	['2018-12-09' 6460.0 729530.0]
339	['2018-12-10' 6480.0 729530.0]
340	['2018-12-11' 6480.0 729530.0]
341	['2018-12-12' 6480.0 729530.0]
342	['2018-12-13' 6510.0 729530.0]
343	['2018-12-14' 6500.0 721090.0]
344	['2018-12-15' 6500.0 721090.0]
345	['2018-12-16' 6500.0 721090.0]
346	['2018-12-17' 6500.0 721090.0]
347	['2018-12-18' 6500.0 721090.0]
348	['2018-12-19' 6500.0 721090.0]
349	['2018-12-20' 6500.0 721090.0]
350	['2018-12-21' 6500.0 742640.0]
351	['2018-12-22' 6500.0 742640.0]
352	['2018-12-23' 6500.0 742640.0]
353	['2018-12-24' 6500.0 742640.0]
354	['2018-12-25' 6480.0 742640.0]
355	['2018-12-26' 6440.0 742640.0]
356	['2018-12-27' 6440.0 742640.0]
357	['2018-12-28' 6440.0 711470.0]
358	['2018-12-29' 6440.0 711470.0]
359	['2018-12-30' 6440.0 711470.0]
360	['2018-12-31' 6440.0 711470.0]
361	['2019-01-01' 6440.0 711470.0]
362	['2019-01-02' 6490.0 711470.0]
363	['2019-01-03' 6520.0 711470.0]
364	['2019-01-04' 6520.0 695540.0]
365	['2019-01-05' 6520.0 695540.0]
366	['2019-01-06' 6520.0 695540.0]
367	['2019-01-07' 6520.0 695540.0]
368	['2019-01-08' 6520.0 695540.0]
369	['2019-01-09' 6520.0 695540.0]
370	['2019-01-10' 6520.0 695540.0]
371	['2019-01-11' 6520.0 718960.0]
372	['2019-01-12' 6520.0 718960.0]
373	['2019-01-13' 6520.0 718960.0]
374	['2019-01-14' 6500.0 718960.0]
375	['2019-01-15' 6500.0 718960.0]
376	['2019-01-16' 6530.0 718960.0]
377	['2019-01-17' 6530.0 718960.0]
378	['2019-01-18' 6560.0 686780.0]
379	['2019-01-19' 6560.0 686780.0]
380	['2019-01-20' 6560.0 686780.0]
381	['2019-01-21' 6600.0 686780.0]
382	['2019-01-22' 6650.0 686780.0]
383	['2019-01-23' 6650.0 686780.0]
384	['2019-01-24' 6670.0 686780.0]
385	['2019-01-25' 6670.0 715710.0]
386	['2019-01-26' 6670.0 715710.0]
387	['2019-01-27' 6670.0 715710.0]
388	['2019-01-28' 6720.0 715710.0]
389	['2019-01-29' 6740.0 715710.0]
390	['2019-01-30' 6740.0 715710.0]
391	['2019-01-31' 6740.0 715710.0]
392	['2019-02-01' 6740.0 690640.0]
393	['2019-02-02' 6740.0 690640.0]
394	['2019-02-03' 6740.0 690640.0]
395	['2019-02-04' 6740.0 690640.0]
396	['2019-02-05' 6740.0 690640.0]
397	['2019-02-06' 6740.0 690640.0]
398	['2019-02-07' 6740.0 690640.0]
399	['2019-02-08' 6740.0 711140.0]
400	['2019-02-09' 6740.0 711140.0]
401	['2019-02-10' 6740.0 711140.0]
402	['2019-02-11' 6720.0 711140.0]
403	['2019-02-12' 6720.0 711140.0]
404	['2019-02-13' 6720.0 711140.0]
405	['2019-02-14' 6720.0 711140.0]
406	['2019-02-15' 6700.0 697880.0]
407	['2019-02-16' 6700.0 697880.0]
408	['2019-02-17' 6700.0 697880.0]
409	['2019-02-18' 6720.0 697880.0]
410	['2019-02-19' 6770.0 697880.0]
411	['2019-02-20' 6730.0 697880.0]
412	['2019-02-21' 6710.0 697880.0]
413	['2019-02-22' 6710.0 709770.0]
414	['2019-02-23' 6710.0 709770.0]
415	['2019-02-24' 6710.0 709770.0]
416	['2019-02-25' 6710.0 709770.0]
417	['2019-02-26' 6680.0 709770.0]
418	['2019-02-27' 6680.0 709770.0]
419	['2019-02-28' 6680.0 709770.0]
420	['2019-03-01' 6780.0 718220.0]
421	['2019-03-02' 6780.0 718220.0]
422	['2019-03-03' 6780.0 718220.0]
423	['2019-03-04' 6880.0 718220.0]
424	['2019-03-05' 6900.0 718220.0]
425	['2019-03-06' 7050.0 718220.0]
426	['2019-03-07' 7080.0 718220.0]
427	['2019-03-08' 7130.0 674160.0]
428	['2019-03-09' 7130.0 674160.0]
429	['2019-03-10' 7130.0 674160.0]
430	['2019-03-11' 7230.0 674160.0]
431	['2019-03-12' 7200.0 674160.0]
432	['2019-03-13' 7100.0 674160.0]
433	['2019-03-14' 7030.0 674160.0]
434	['2019-03-15' 6980.0 655340.0]
435	['2019-03-16' 6980.0 655340.0]
436	['2019-03-17' 6980.0 655340.0]
437	['2019-03-18' 7050.0 655340.0]
438	['2019-03-19' 7050.0 655340.0]
439	['2019-03-20' 7100.0 655340.0]
440	['2019-03-21' 7100.0 655340.0]
441	['2019-03-22' 7180.0 617100.0]
442	['2019-03-23' 7180.0 617100.0]
443	['2019-03-24' 7180.0 617100.0]
444	['2019-03-25' 7250.0 617100.0]
445	['2019-03-26' 7250.0 617100.0]
446	['2019-03-27' 7350.0 617100.0]
447	['2019-03-28' 7300.0 617100.0]
448	['2019-03-29' 7200.0 606420.0]
449	['2019-03-30' 7200.0 606420.0]
450	['2019-03-31' 7200.0 606420.0]
451	['2019-04-01' 7200.0 606420.0]
452	['2019-04-02' 7170.0 606420.0]
453	['2019-04-03' 7250.0 606420.0]
454	['2019-04-04' 7250.0 606420.0]
455	['2019-04-05' 7250.0 607110.0]
456	['2019-04-06' 7250.0 607110.0]
457	['2019-04-07' 7250.0 607110.0]
458	['2019-04-08' 7250.0 607110.0]
459	['2019-04-09' 7250.0 607110.0]
460	['2019-04-10' 7250.0 607110.0]
461	['2019-04-11' 7220.0 607110.0]
462	['2019-04-12' 7220.0 595060.0]
463	['2019-04-13' 7220.0 595060.0]
464	['2019-04-14' 7220.0 595060.0]
465	['2019-04-15' 7240.0 595060.0]
466	['2019-04-16' 7220.0 595060.0]
467	['2019-04-17' 7240.0 595060.0]
468	['2019-04-18' 7240.0 595060.0]
469	['2019-04-19' 7240.0 595990.0]
470	['2019-04-20' 7240.0 595990.0]
471	['2019-04-21' 7240.0 595990.0]
472	['2019-04-22' 7240.0 595990.0]
473	['2019-04-23' 7240.0 595990.0]
474	['2019-04-24' 7160.0 595990.0]
475	['2019-04-25' 7140.0 595990.0]
476	['2019-04-26' 7120.0 581470.0]
477	['2019-04-27' 7120.0 581470.0]
478	['2019-04-28' 7120.0 581470.0]
479	['2019-04-29' 7100.0 581470.0]
480	['2019-04-30' 7100.0 581470.0]
481	['2019-05-01' 7100.0 581470.0]
482	['2019-05-02' 7100.0 581470.0]
483	['2019-05-03' 7100.0 581240.0]
484	['2019-05-04' 7100.0 581240.0]
485	['2019-05-05' 7100.0 581240.0]
486	['2019-05-06' 7100.0 581240.0]
487	['2019-05-07' 7150.0 581240.0]
488	['2019-05-08' 7150.0 581240.0]
489	['2019-05-09' 7190.0 581240.0]
490	['2019-05-10' 7210.0 607690.0]
491	['2019-05-11' 7210.0 607690.0]
492	['2019-05-12' 7210.0 607690.0]
493	['2019-05-13' 7210.0 607690.0]
494	['2019-05-14' 7260.0 607690.0]
495	['2019-05-15' 7280.0 607690.0]
496	['2019-05-16' 7300.0 607690.0]
497	['2019-05-17' 7300.0 604430.0]
498	['2019-05-18' 7300.0 604430.0]
499	['2019-05-19' 7300.0 604430.0]
